id,fuente,fecha,dia_sem,ccaa,provincia,municipio,carretera,pkm,lat,lon,fallecidos,alcohol,droga,huido,genero,ciclistas
"27",https://www.elperiodico.com/es/sociedad/20120828/un-chica-muere-accidente-constanti-2192871,2012/08/28 10:30:00,Martes,Cataluña/Catalunya,Tarragona,Vallmoll,T-751,"2",41.237047,1.2413555,"1",,,,,Desconocido
"28",https://www.canarias7.es/hemeroteca/fallece_un_ciclista_tras_chocar_contra_una_guagua_en_mogan_-KCCSN244709,2012/01/07 11:30:00,Sábado,Canarias,Las Palmas,Mogán (Gran Canaria),GC-500,"8",27.785517,-15.7194,"1",,,,,Desconocido
"29",https://elpais.com/ccaa/2014/05/05/catalunya/1399301839_391637.html,2012/02/12 13:00:00,Domingo,Cataluña/Catalunya,Lleida,Balaguer,C-13,"26",41.736534,0.781975,"2",No,No,No,Hombre,"Joan, A., Pere, P."
"30",https://www.eldiariomontanes.es/rc/20120919/deportes/mas-deporte/fallece-tras-atropello-victor-201209191623.html,2012/09/19 14:00:00,Miércoles,Comunitat Valenciana,Castelló,Almedíjar,CV200,"10",39.879856,-0.374686,"1",,,,,Víctor Cabedo
"31",https://www.diariodemallorca.es/sucesos/2014/02/24/condenan-policias-atropello-mortal-ciclista/913436.html,2012/03/26 10:30:00,Domingo,Illes Balears,Illes Balears,Llucmajor (Mallorca),Ma-6015,,39.391922,2.7621245,"1",Sí,No,Sí,Hombre,Desconocido
"32",https://www.esciclismo.com/ampliada.asp?Id=21667,2012/04/23 10:30:00,Domingo,Región de Murcia,Murcia,Monteagudo,N-340,,38.018352,-1.097336,"1",,,,,Desconocido
"33",https://www.canarias7.es/hemeroteca/fallece_arrollado_un_ciclista_holandes_en_montana_la_data-HCCSN244614,2012/01/05 11:30:00,Jueves,Canarias,Las Palmas,San Bartolomé de Tirajana (Gran Canaria),GC-503,,27.796211,-15.61203,"1",,,,,Desconocido
"34",https://www.esciclismo.com/ampliada.asp?Id=23121,2012/08/23 11:45:00,Jueves,Castilla y León,León,Toral de los Vados,N-120,,42.549576,-6.779747,"1",,,,,Desconocido
"35",https://www.esciclismo.com/ampliada.asp?Id=22839,2012/08/01 12:45:00,Miércoles,Castilla y León,Valladolid,Mojados,N-601,,41.450552,-4.666643,"1",,,,,Desconocido
"36",https://as.com/ciclismo/2012/06/25/mas_ciclismo/1340575204_850215.html,2012/06/24 13:15:00,Domingo,Andalucía,Jaén,Huelma,A-324,"21",37.683417,-3.484202,"1",,,,,José María Sánchez
"37",https://www.esciclismo.com/ampliada.asp?Id=23989,2012/11/14 16:15:00,Domingo,Andalucía,Granada,Albolote,N-323,"117",37.272367,-3.683041,"1",,,,,Desconocido
"38",https://elpais.com/ccaa/2012/11/15/catalunya/1353001040_634589.html,2012/12/15 18:00:00,Sábado,Cataluña/Catalunya,Tarragona,Deltebre,TV-3454,"13",40.706198,0.7738731,"1",Sí,,Sí,Hombre,Desconocido
"39",https://elpais.com/ccaa/2012/07/26/catalunya/1343324773_921033.html,2012/07/26 19:15:00,Jueves,Cataluña/Catalunya,Tarragona,La Selva del Camp,TV-7048,,41.209935,1.1393672,"1",,,,,Desconocido
"40",https://ultimahora.es/sucesos/ultimas/2012/08/21/79147/ciclista-muere-tras-ser-arrollado-por-vehiculo-misma-zona-ayer-perdieron-vida-dos-personas.html,2012/08/20 00:00:00,Lunes,Illes Balears,Illes Balears,Porto Cristo (Mallorca),Ma-4020,"9",39.561497,3.27046,"1",No,,No,Hombre,Nicolai K
"41",https://elpais.com/ccaa/2013/01/31/madrid/1359622031_269190.html,2013/01/31 07:00:00,Jueves,Comunidad de Madrid,Madrid,Alcalá de Henares,A-2,,40.505584,-3.352925,"1",No,No,No,Mujer,Desconocido
"42",https://elpais.com/ccaa/2013/10/21/madrid/1382355343_450879.html,2013/10/21 07:30:00,Lunes,Castilla-La Mancha,Toledo,Torrejón de la Calzada,A-42,"3",40.185219,-3.806826,"1",,,Sí,,Óscar Bautista
"43",https://elpais.com/ccaa/2013/08/23/catalunya/1377258525_663526.html,2013/08/23 11:00:00,Viernes,Cataluña/Catalunya,Barcelona,Vilobí del Penedès,BV-2127,"5",41.38681,1.6705814,"1",,,,,Gonzalo L. M
"44",http://www.heraldodiariodesoria.es/noticias/soria/ciclista-15-anos-fallece-arrollada-coche-n-111-fuentecantos_19225.html,2013/08/22 13:00:00,Miércoles,Castilla y León,Soria,Fuentecantos,N-111,"236",41.853239,-2.456934,"1",,,,,María García Rubio
"45",https://www.farodevigo.es/sucesos/2013/01/04/muere-presidente-club-ciclista-bueu-arrollado-camion-placeres/735471.html,2013/01/03 17:30:00,Jueves,Galicia,Pontevedra,Os Praceres,PO-11,"3",42.402615,-8.685373,"1",,,,Hombre,Cristóbal Hermida Freire
"46",https://elpais.com/politica/2013/05/26/actualidad/1369581372_350625.html,2013/05/26 10:15:00,Domingo,Región de Murcia,Murcia,San Javier,,,37.813244,-0.825921,"1",Sí,,No,Hombre,Desconocido
"47",https://elpais.com/politica/2013/07/29/actualidad/1375106338_543660.html,2013/08/28 10:30:00,Domingo,Castilla y León,Valladolid,Aguasal,CL-602,"83",41.294982,-4.665255,"2",Sí,No,No,Mujer,"Diego G.C, Sergio G.H. "
"48",https://elpais.com/ccaa/2013/02/10/andalucia/1360497993_199120.html,2013/02/10 11:15:00,Domingo,Andalucía,Málaga,Campillos,A-384,,37.051839,-4.772269,"2",Sí,,No,Hombre,"Desconocido, Desconocido"
"49",https://elpais.com/ccaa/2013/04/04/paisvasco/1365092059_070322.html,2013/04/03 11:30:00,Miércoles,País Vasco/Euskadi,Bizkaia,Basauri,BI-625,,43.225067,-2.876691,"1",,Sí,No,Hombre,Jaime Odriozola
"50",https://elpais.com/ccaa/2013/04/21/catalunya/1366557374_755395.html,2013/04/23 11:30:00,Martes,Cataluña/Catalunya,Tarragona,Montroig del Camp,N-340,,41.051043,1.0012021,"1",,Sí,,Hombre,Desconocido
"51",https://elpais.com/ccaa/2013/06/30/madrid/1372591973_802142.html,2013/06/30 12:30:00,Domingo,Comunidad de Madrid,Madrid,San Fernando de Henares,M-21,,40.445075,-3.52848,"1",,,,,Desconocido
"52",https://elpais.com/ccaa/2013/10/24/catalunya/1382635124_057114.html,2013/10/24 15:15:00,Jueves,Cataluña/Catalunya,Lleida,Puiggròs,L-200,"11",41.556916,0.8833567,"1",,,,,Desconocido
"53",https://www.esciclismo.com/ampliada.asp?Id=28023,2013/10/27 16:30:00,Sábado,Castilla-La Mancha,Ciudad Real,Almagro,CM-412,,38.892571,-3.7427,"1",,,,,Desconocido
"54",https://www.esciclismo.com/ampliada.asp?Id=24771,2013/02/09 16:45:00,Viernes,Andalucía,Córdoba,Hornachuelos,A-431,"38",37.775081,-5.205498,"1",,,,,Desconocido
"55",https://www.esciclismo.com/ampliada.asp?Id=28115,2013/11/07 17:45:00,Jueves,Castilla-La Mancha,Toledo,Villarubia de Santiago,CM-3001,,39.949801,-3.354899,"1",,,,,Desconocido
"56",https://elpais.com/ccaa/2013/07/31/galicia/1375293692_695741.html,2013/07/31 19:00:00,Miércoles,Galicia,A Coruña,Paderne,N-651,,43.28715,-8.211644,"1",,,,,Desconocido
"57",https://www.esciclismo.com/ampliada.asp?Id=31958,2014/10/13 02:00:00,Domingo,Comunitat Valenciana,Castelló,Castelló,CV-149,,40.017806,-0.015151,"1",,,,Mujer,P.T.
"58",https://www.esciclismo.com/ampliada.asp?Id=28964,2014/02/08 07:00:00,Sábado,Cataluña/Catalunya,Barcelona,San María de Palautordera,BV-5301,,41.683726,2.4467305,"1",,,Sí,Hombre,Desconocido
"59",,2014/02/02 07:15:00,Domingo,Andalucía,Málaga,Málaga ,A-7054,,36.732689,-4.555038,"1",,,,Mujer,E.G.A
"60",https://www.20minutos.es/noticia/2213311/0/fallece-ciclista-tras-ser-atropellado-por-vehiculo-a-4-altura-carmona/,2014/08/10 07:45:00,Domingo,Andalucía,Sevilla,Carmona,A-4,"518",37.487319,-5.645925,"1",,,,,Desconocido
"61",https://elpais.com/politica/2014/07/27/actualidad/1406451113_336863.html,2014/07/27 08:00:00,Domingo,Castilla-La Mancha,Cuenca,Motilla del Palancar,CM-2202,"3",39.571591,-1.883435,"1",Sí,,No,Mujer,Desconocido
"62",https://sotograndedigital.com/fallece-un-ciclista-atropellado-a-la-altura-del-cruce-de-el-toril/,2014/06/06 08:45:00,Viernes,Andalucía,Cádiz,San Roque,A-7,"118",36.208547,-5.38123,"1",,,,,Desconocido
"63",https://www.20minutos.es/noticia/2264537/0/fallece-ciclista-65-anos-tras-ser-atropellado-por-ambulancia-transporte-colectivo-hoya-gonzalo/,2014/10/13 09:30:00,Lunes,Castilla-La Mancha,Albacete,Hoya-Gonzalo,AB-215,"4",38.960819,-1.525936,"1",,,,,Desconocido
"64",https://elpais.com/politica/2014/06/22/actualidad/1403427124_821796.html,2014/06/22 09:30:00,Domingo,Comunidad Foral de Navarra,Navarra,Caparroso,NA-1240,"1",42.368996,-1.635588,"2",,,,,"Desconocido, Desconocido"
"65",https://www.laprovincia.es/lanzarote/2014/08/21/conductor-atropello-ciclista-tinajo-triplicaba/628167.html,2014/08/18 12:45:00,Lunes,Canarias,Las Palmas,Tinajo (Lanzarote),,,29.094215,-13.66899,"1",Sí,Sí,,Hombre,Desconocido
"66",https://elpais.com/ccaa/2014/09/22/madrid/1411381254_915576.html,2014/09/22 10:45:00,Lunes,Castilla-La Mancha,Toledo,Torrejón de la Calzada,A42,"29",40.143749,-3.826053,"1",,,,,Desconocido
"67",https://www.20minutos.es/noticia/2264653/0/fallece-ciclista-atropellado-por-camion-tomelloso-ciudad-real/,2014/10/13 11:45:00,Lunes,Castilla-La Mancha,Ciudad Real,Tomelloso,CM-3109,,39.134769,-3.038533,"1",,,,,Desconocido
"68",https://www.20minutos.es/noticia/2335219/0/fallece-atropellado-ciclista-36-anos-n-323-jabalquinto/,2014/12/27 13:30:00,Sábado,Andalucía,Jaén,Jabalquinto,N-323,"11",38.019326,-3.78386,"1",,,,,Desconocido
"69",http://www.marca.com/2014/04/12/mas_deportes/otros_deportes/1397338930.html,2014/04/12 14:30:00,Sábado,Castilla-La Mancha,Toledo,Nambroca,CM-4019,"1",39.792102,-3.937479,"1",,,,,Desconocido
"70",https://www.20minutos.es/noticia/2303887/0/fallece-ciclista-atropellado-carretera-que-une-roquetas-mar-con-almerimar/,2014/11/21 15:30:00,Viernes,Andalucía,Almería,El Ejido,AL-3300,,36.704496,-2.68632,"1",,,,,Desconocido
"71",https://www.20minutos.es/noticia/2239968/0/muere-ciclista-71-anos-atropellado-por-turismo-villarrobledo-albacete/,2014/09/16 16:30:00,Martes,Castilla-La Mancha,Albacete,Villarobledo,N-310,"138",39.29487,-2.565399,"1",,,,,Desconocido
"72",https://www.20minutos.es/noticia/2237979/0/fallece-ciclista/atropellado-andujar/,2014/09/14 19:45:00,Domingo,Andalucía,Jaén,Andújar,A-311,"34",38.011564,-4.04676,"1",,,,,Desconocido
"73",https://www.esciclismo.com/ampliada.asp?Id=29623,2014/04/05 19:45:00,Sábado,Andalucía,Almería,Níjar,AL-3201,"2",36.817261,-2.183415,"1",Sí,,Sí,,Desconocido
"74",https://www.20minutos.es/noticia/2422150/0/muere-ciclista-25-anos-tras-ser-atropellado-por-turismo-altura-madridejos-toledo/,2015/04/02 04:15:00,Jueves,Andalucía,Toledo,Madridejos,A-4,,39.483771,-3.525311,"1",,,,,D.R.
"75",https://elpais.com/ccaa/2015/09/06/catalunya/1441533926_285928.html,2015/09/05 08:15:00,Sábado,Cataluña/Catalunya,Lleida,Soses,L-7041,,41.524985,0.48181,"2",Sí,No,Sí,Hombre,"José R. M, Javier M. B"
