id,fuente,fecha,dia_sem,ccaa,provincia,municipio,carretera,pkm,lat,lon,fallecidos,alcohol,droga,huido,genero,ciclistas
"113",https://elpais.com/ccaa/2017/05/07/valencia/1494148008_474106.html,2017/05/08 08:30:00,Domingo,Comunitat Valenciana,València,Oliva,N-332,"206",38.871516,-0.028799,"3",Sí,Sí,No,Mujer,"Luis Alberto Contreras, José Antonio Albi, Eduardo Monfort Gasent"
"114",https://elpais.com/politica/2017/10/29/actualidad/1509278068_171839.html,2017/10/29 09:30:00,Domingo,Cataluña/Catalunya,Barcelona,Gavà,C-31,"184",41.269408,1.9979251,"1",,,,,Desconocido
"115",https://www.laverdad.es/murcia/comarcas/201702/11/herido-ciclista-colisionar-furgoneta-20170211123541.html,2017/02/11 09:45:00,Sábado,Región de Murcia,Murcia,Abarán,N-301,"360",38.222187,-1.366743,"1",,,,,Desconocido
"116",https://www.20minutos.es/noticia/3019351/0/sucesos-fallece-ciclista-atropellado-por-furgoneta-a-385-su-paso-por-gabias/,2017/04/24 09:45:00,Lunes,Andalucía,Granada,Las Gabias,A-385,"15",37.138271,-3.73161,"1",,,,,Desconocido
"117",https://elpais.com/politica/2017/06/10/actualidad/1497089021_759640.html,2017/06/10 10:00:00,Sábado,Comunidad Foral de Navarra,Navarra,Erice de Iza,N-240-A,"13",42.888649,-1.770803,"1",No,No,No,,Desconocido
"118",https://elpais.com/politica/2017/07/16/actualidad/1500206407_039015.html,2017/07/16 12:15:00,Domingo,Aragón,Teruel,Teruel,N-420,"584",40.330352,-1.117901,"1",Sí,,,,J. L. A. S.
"119",https://www.hoy.es/prov-caceres/fallece-ciclista-atropellado-20171220193344-nt.html,2017/12/20 16:45:00,Miércoles,Extremadura,Cáceres,Arroyomolinos de la Vera,EX-213,"6",40.061822,-5.859348,"1",,,,,Enrique Paniagua
"120",https://www.20minutos.es/noticia/3190533/0/muere-ciclista-menor-edad-colision-turismo/,2017/11/17 20:00:00,Viernes,Cataluña/Catalunya,Barcelona,Sant Llorenç de Savall,B-124,"20",41.670049,2.054352,"1",,,,,Desconocido
"121",https://www.lne.es/sucesos/2017/04/16/fallece-artesana-gloria-prol-chocar/2089480.html,2017/04/13 20:15:00,Jueves,Principado de Asturias,Principado de Asturias,Lllanes,LLN-1,,43.418306,-4.74708,"1",,,,,Gloria Prol
"122",https://www.20minutos.es/noticia/3116114/0/ciclista-muerto-heridos-domingo/,2017/08/27 21:15:00,Domingo,Cataluña/Catalunya,Lleida,Seròs,C-45,"15",41.398633,0.45527,"1",,,,,Desconocido
"123",https://elpais.com/politica/2017/08/04/actualidad/1501866285_873729.html,2017/08/04 10:00:00,Viernes,Aragón,Huesca,Estopiñán del Castillo,N-230,"50",41.993007,0.4846376,"1",,,,,Desconocido
"124",https://www.diariodeibiza.es/pitiuses-balears/2017/04/30/muere-ciclista-34-anos-arrollado/912636.html,2017/04/29 10:00:00,Viernes,Illes Balears,Illes Balears,Sant Josep de sa Talaia (Ibiza),PM-803,"18",38.95516,1.3070085,"1",Sí,,Sí,Hombre,Desconocido
"125",https://www.20minutos.es/noticia/3003786/0/muere-atropellado-ciclista-84-anos-vilanova-bellpuig-lleida/,2017/04/04 11:00:00,Martes,Cataluña/Catalunya,Lleida,Vilanova de Bellpuig,C-233,"78",41.615492,0.976818,"1",,,,,J.S.S.
"126",https://elpais.com/ccaa/2017/06/28/catalunya/1498649890_965804.html,2017/06/28 11:45:00,Miércoles,Cataluña/Catalunya,Tarragona,El Vendrell,N-340,"1190",41.208072,1.5351101,"1",,,,,Desconocido
"127",https://www.20minutos.es/noticia/3097714/0/muere-ciclista-chocar-moto-puerto-canencia-madrid/,2017/07/23 12:15:00,Domingo,Comunidad de Madrid,Madrid,Miraflores de la Sierra,M-629,"6",40.829592,-3.76687,"1",,,,,Desconocido
"128",https://www.20minutos.es/noticia/3184385/0/muere-menor-atropellado-camion-tarragona-cuando-iba-bici/,2017/11/11 13:45:00,Sábado,Cataluña/Catalunya,Tarragona,Tortosa,TV-3421,"25",40.804496,0.4869813,"1",No,Sí,No,Hombre,Desconocido
"129",https://www.20minutos.es/noticia/3014419/0/muere-ciclista-tras-ser-atropellado-por-coche-carretera-art/,2017/04/18 14:00:00,Martes,Illes Balears,Illes Balears,Artà (Mallorca),MA-12,,39.695676,3.2773883,"1",,,,,Desconocido
"130",https://www.20minutos.es/noticia/3008469/0/fallece-atropellado-ciclista-36-anos-poio-pontevedra/,2017/04/09 14:00:00,Domingo,Galicia,Pontevedra,Poio,PO-308,"8",42.434503,-8.669915,"1",,,,Hombre,J.V.V
"131",https://elpais.com/politica/2017/07/09/actualidad/1499625390_840930.html,2017/07/09 18:15:00,Domingo,Castilla y León,León,Páramo del Sil,CL-631,"35",42.813817,-6.510774,"1",,,,,Desconocido
"132",https://www.20minutos.es/noticia/2980176/0/muere-ciclista-tras-ser-atropellado-por-turismo-antigua-n-340-vinar-s/,2017/03/09 19:00:00,Miércoles,Comunitat Valenciana,Castelló,Vinaròs,N-340,"1049",40.479461,0.4716736,"1",,,,,Desconocido
"133",https://www.20minutos.es/noticia/3062855/0/muere-ciclista-choca-coche-alicante/,2017/06/12 20:15:00,Lunes,Comunitat Valenciana,Alacant,Villajoyosa,N-332,"141",38.528048,-0.200113,"1",No,No,No,Hombre,F.O.L
"134",https://elpais.com/ccaa/2018/08/05/catalunya/1533459759_098186.html,2018/08/05 08:15:00,Domingo,Cataluña/Catalunya,Tarragona,Montbrió del Camp,T-310,"8",41.130563,1.0214255,"2",No,Sí,No,Hombre,"Desconocido, Desconocido"
"135",https://www.20minutos.es/noticia/3406463/0/muere-ciclista-arrollado-turismo-guardamar/,2018/07/29 08:30:00,Domingo,Comunitat Valenciana,Alacant,Guardamar del Segura,N-332,"68",38.070805,-0.655678,"1",,,,,Desconocido
"136",https://www.lavanguardia.com/sucesos/20180406/442238068606/muere-ciclista-aleman-atropellado-mallorca.html,2018/04/05 09:30:00,Miércoles,Illes Balears,Illes Balears,Capdepera (Mallorca),MA-15,"5",39.700317,3.4162071,"1",,Sí,No,Mujer,Desconocido
"137",https://www.laopinion.es/sucesos/2018/03/18/ciclista-belga-muere-arrollado-ciclomotor/860568.html,2018/03/17 10:30:00,Sábado,Canarias,Tenerife,Chimiche (Tenerife),TF-28,"66",28.132873,-16.5387,"1",,,,,Desconocido
"138",https://www.20minutos.es/noticia/3380855/0/mueren-atropellados-dos-ciclistas-conductor-detenido/,2018/06/28 11:00:00,Jueves,Castilla y León,León,Matallana de Valmadrigal,N-601,,42.353692,-5.325795,"2",Sí,,Sí,Hombre,"Desconocido, Desconocido"
"139",https://www.lavozdegalicia.es/noticia/lugo/lugo/2018/06/26/ciclista-fallecido-outeiro-rei-sufrio-ningun-mareo-pedaleaba/00031530046627427466740.htm,2018/06/17 11:45:00,Domingo,Galicia,Lugo,Outeiro do Rei,LU-115,,43.109037,-7.594883,"1",,,,,C. G. R.
"140",https://www.20minutos.es/noticia/3301545/0/muere-ciclista-atropello-sevilla/,2018/03/30 14:00:00,Viernes,Andalucía,Sevilla,Guillena,N-630,,37.539119,-6.096783,"1",,,,,Desconocido
"141",https://elpais.com/politica/2018/03/30/diario_de_espana/1522403354_031532.html,2018/03/28 16:45:00,Miércoles,Extremadura,Badajoz,Hornachuelos,A-431,"38",38.552074,-6.082623,"1",,,,,José Ángel Aceitón
"142",,2018/06/05 17:30:00,Martes,Castilla y León,Palencia,Melgar de Yuso,PP-4311,"11",42.24636,-4.248707,"1",,,,,R.J.E.L
"143",http://www.gobiernodecanarias.org/noticias/se/1-1-2_Canarias/99347/fallece-ciclista-accidente-trafico-gran-canaria,2018/08/10 18:00:00,Viernes,Canarias,Las Palmas,Mogán (Gran Canaria),GC-505,"19",27.882936,-15.67779,"1",,,,,WPF
"144",https://elpais.com/ccaa/2018/05/25/catalunya/1527257235_904737.html,2018/05/20 19:00:00,Domingo,Cataluña/Catalunya,Barcelona,Igualada,C-31,,41.562293,1.608619,"1",,,Sí,Hombre,Desconocido
"145",https://www.20minutos.es/noticia/3383487/0/ciclista-atropellado-furgoneta-vehiculo-turismo-algete-madrid/,2018/07/01 10:00:00,Domingo,Comunidad de Madrid,Madrid,Algete,M-103,"10",40.587377,-3.507929,"1",,,,,Desconocido
"146",https://www.laprovincia.es/sucesos/2018/04/15/fallece-ciclista-colisiono-coche-cenobio/1048381.html,2018/05/15 11:30:00,Sábado,Canarias,Las Palmas,Cenobio de Valerón (Gran Canaria),GC-291,"3",28.141911,-15.6097,"1",,,,,Desconocido
"147",https://www.20minutos.es/noticia/3327063/0/muere-ciclista-atropellado-turismo-ejea-zaragoza/,2018/04/28 12:15:00,Sábado,Aragón,Zaragoza,Ejea de los Caballeros,A-125,,42.12711,-1.108459,"1",,,,,J.D.C.M
"148",https://www.20minutos.es/noticia/3376691/0/muere-ciclista-anos-golpeado-furgoneta-lozoya-madrid/#xtor=AD-15&xts=467263,2018/06/23 12:45:00,Sábado,Comunidad de Madrid,Madrid,Lozoya,M-637,"10",40.964408,-3.799748,"1",,,,,Desconocido
"149",https://www.elespanol.com/deportes/ciclismo/20180519/ciclista-muere-arrollado-camion-castellon/308469669_0.html,2018/05/19 13:00:00,Sábado,Comunitat Valenciana,Castelló,Barracas,N-234,,40.013955,-0.691041,"1",,,,,Desconocido
"150",https://www.lasprovincias.es/sucesos/ciclista-muere-atropello-villena-20180709093121-nt.html,2018/07/09 22:00:00,Domingo,Comunitat Valenciana,Alacant,Villena,CV-799,"3",38.631817,-0.816456,"1",,Sí,Sí,Hombre,Toni Díaz
"151",https://www.20minutos.es/noticia/3377319/0/fallece-ciclista-atropellado-ejido/,2018/06/25 23:00:00,Lunes,Andalucía,Almería,El Ejido,AL-9006,,36.724376,-2.826029,"1",,,,,Desconocido
"152",https://www.lavanguardia.com/sucesos/20230429/8932368/ciclista-muere-accidente-trafico-priorat.html,2023/04/29 16:30:00,Sábado,Cataluña/Catalunya,Tarragona,Cornudella de Monstant,C-242,"44",41.269707,0.9135884,"1",Sí,,Sí,Hombre,Desconocido
"153",https://www.elnortedecastilla.es/salamanca/muere-joven-ciclista-20230209204739-nt.html,2023/02/09 18:32:00,Jueves,Castilla y León,Salamanca,Villares de la Reina,N-620,"232",41.001347,-5.627735,"1",No,No,No,Hombre,Estela Domínguez
"154",https://www.elperiodicomediterraneo.com/sucesos/2023/04/21/muere-ciclista-accidentado-castello-guardia-civil-86323965.html,2023/04/21 11:00:00,Viernes,Comunitat Valenciana,Castelló,Castelló de la Plana,CS-22,"1",39.969838,-0.068214,"1",,,,Hombre,Desconocido
"155",https://rtvmiajadas.es/fallece-un-ciclista-miajadeno-tras-ser-atropellado-por-un-vehiculo/,2023/05/06 11:09:00,Sábado,Extremadura,Cáceres,Miajadas,EX-206,"5",39.115445,-5.899923,"1",,,,,J.S.
"156",https://www.ultimahora.es/sucesos/ultimas/2023/05/09/1933053/atropello-mortal-mallorca-ciclista-fallecido-positivo-drogas-del-conductor.html,2023/05/05 15:30:00,Viernes,Illes Balears,Illes Balears,Pollença (Mallorca),MA-10,"6",39.868223,2.969645,"1",,Sí,No,Hombre,Lesiak Andrzej Zbigniew
"157",https://www.eitb.eus/es/noticias/sociedad/detalle/9174842/fallece-ciclista-en-legutio-tras-ser-atropellado-por-furgoneta/,2023/04/17 12:00:00,Lunes,País Vasco/Euskadi,Araba/Álava,Legutio,N-240,"16",42.980097,-2.645004,"1",,,,,Desconocido
"158",https://www.lanuevacronica.com/muere-un-ciclista-de-68-anos-tras-ser-arrollado-por-un-turismo-en-vidanes,2023/04/16 13:52:00,Domingo,Castilla y León,León,Cistierna,N-625,"60",42.776003,-5.132555,"1",No,No,No,,E.G.G
"159",https://cronicaglobal.elespanol.com/vida/20220821/atropello-multiple-de-ciclistas-castellbisbal-dos-muertos/697180299_0.html,2022/08/21 10:47:00,Domingo,Cataluña/Catalunya,Barcelona,Castellbisbal,C-243c,"1",41.478162,1.938441,"2",,,Sí,Hombre,"José María de la Torre, Miguel Moya"
"160",https://www.ciclismoafondo.es/noticias/mil-ciclistas-cortan-carretera-en-terrassa-protestar-por-atropello-mortal-ciclista_253774_102.html,2022/03/19 07:50:00,Sábado,Cataluña/Catalunya,Barcelona,Terrassa,C-1415a,"21",41.598004,2.045474,"1",,Sí,Sí,Hombre,R.Z.M
"161",https://www.campeonesaranjuez.com/2022/10/un-ciclista-fallece-atropellado-en.html,2022/10/09 11:15:00,Domingo,Comunidad de Madrid,Madrid,Aranjuez,R-4,,40.006223,-3.613982,"1",,,,,Juan Martín Hurtado
"162",https://www.elconfidencial.com/deportes/ciclismo/2019-06-05/atropello-ciclista-muerte-madrid-el-boalo-m607_2056142/,2019/06/05 11:35:00,Miércoles,Comunidad de Madrid,Madrid,El Boalo,M-607,"47",40.696134,-3.917468,"1",,,,,Desconocido
"163",https://www.lavanguardia.com/local/madrid/20191226/472508753687/muere-atropellado-un-ciclista-de-58-anos-en-la-carretera-m-832-a-su-paso-por-rivas.html,2019/12/26 11:15:00,Jueves,Comunidad de Madrid,Madrid,Rivas-Vaciamadrid,M-823,"4",40.381355,-3.518865,"1",,,,,Desconocido
"164",https://www.noticiasdenavarra.com/actualidad/2022/04/13/acepta-40-meses-carcel-atropello-2085589.html,2019/06/04 12:12:00,Martes,Comunidad Foral de Navarra,Navarra,Agorreta (Esteríbar),N-135,"23",42.94649,-1.487182,"1",,,Sí,Hombre,Carlos Miranda Bretos
